
,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
117,2012,Cumberland,37.7037.7,40.2040.2,51.3051.3,53.7053.7,66.3066.3,71.2071.2,79.4079.4,75.9075.9,68.0068.0,58.4058.4,42.6042.6,43.6043.6
118,2013,Cumberland,36.0036.0,34.7034.7,39.7039.7,53.2053.2,62.4062.4,72.5072.5,78.9078.9,72.4072.4,65.5065.5,58.4058.4,44.5044.5,39.2039.2
119,2014,Cumberland,28.4028.4,32.8032.8,37.7037.7,51.9051.9,63.2063.2,71.6071.6,74.9074.9,71.4071.4,68.0068.0,58.4058.4,43.6043.6,40.2040.2
120,2015,Cumberland,30.6030.6,25.5025.5,38.8038.8,53.1053.1,67.0067.0,72.5072.5,76.1076.1,74.4074.4,71.8071.8,56.0056.0,51.1051.1,50.2050.2
121,2016,Cumberland,33.3033.3,38.2038.2,48.6048.6,52.0052.0,60.9060.9,71.9071.9,78.8078.8,78.3078.3,71.4071.4,59.0059.0,48.0048.0,38.4038.4
122,2017,Cumberland,38.1038.1,43.0043.0,42.0042.0,57.8057.8,61.3061.3,72.0072.0,77.1077.1,73.0073.0,69.3069.3,61.6061.6,46.7046.7,35.3035.3
123,2018,Cumberland,31.8031.8,42.0042.0,39.6039.6,50.3050.3,66.4066.4,71.3071.3,77.0077.0,77.9077.9,72.5072.5,58.7058.7,44.6044.6,39.8039.8
124,2019,Cumberland,34.0034.0,37.0037.0,41.6041.6,57.0057.0,65.0065.0,72.7072.7,78.8078.8,75.8075.8,70.8070.8,60.2060.2,42.9042.9,38.9038.9

,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Gloucester,24.6024.6,33.0033.0,37.8037.8,50.2050.2,63.4063.4,70.1070.1,75.2075.2,75.1075.1,70.2070.2,58.2058.2,46.8046.8,35.4035.4
76,1971,Gloucester,27.5027.5,34.6034.6,39.9039.9,50.0050.0,59.3059.3,72.2072.2,75.1075.1,73.0073.0,69.5069.5,61.7061.7,44.7044.7,40.8040.8
77,1972,Gloucester,34.3034.3,31.2031.2,40.0040.0,48.6048.6,61.5061.5,67.7067.7,75.9075.9,73.7073.7,67.3067.3,51.6051.6,42.8042.8,39.6039.6
78,1973,Gloucester,34.1034.1,32.6032.6,46.5046.5,52.5052.5,59.3059.3,73.3073.3,76.4076.4,76.3076.3,68.5068.5,57.8057.8,46.7046.7,38.0038.0
79,1974,Gloucester,36.0036.0,31.4031.4,43.4043.4,54.6054.6,61.4061.4,68.2068.2,75.5075.5,74.8074.8,66.2066.2,52.6052.6,46.1046.1,38.3038.3
80,1975,Gloucester,36.5036.5,35.1035.1,40.2040.2,47.2047.2,64.8064.8,70.9070.9,75.1075.1,75.4075.4,64.4064.4,59.4059.4,50.5050.5,36.3036.3
81,1976,Gloucester,28.4028.4,40.2040.2,45.6045.6,54.9054.9,61.2061.2,73.5073.5,73.7073.7,73.1073.1,65.8065.8,51.3051.3,39.5039.5,29.9029.9
82,1977,Gloucester,20.8020.8,33.1033.1,47.6047.6,55.2055.2,64.5064.5,68.9068.9,76.6076.6,74.9074.9,68.8068.8,53.8053.8,46.9046.9,33.8033.8
83,1978,Gloucester,27.7027.7,24.0024.0,38.3038.3,50.7050.7,59.8059.8,70.9070.9,73.3073.3,76.3076.3,65.8065.8,54.2054.2,46.6046.6,37.6037.6
84,1979,Gloucester,31.7031.7,22.4022.4,45.6045.6,50.8050.8,63.6063.6,67.8067.8,74.7074.7,74.0074.0,67.2067.2,54.4054.4,49.4049.4,37.9037.9
85,1980,Gloucester,31.7031.7,29.6029.6,39.5039.5,53.7053.7,64.3064.3,69.2069.2,77.6077.6,77.4077.4,70.4070.4,54.1054.1,42.4042.4,32.5032.5
86,1981,Gloucester,25.2025.2,37.4037.4,39.8039.8,54.8054.8,62.2062.2,71.9071.9,76.5076.5,72.7072.7,65.8065.8,52.3052.3,44.7044.7,33.9033.9
87,1982,Gloucester,23.8023.8,33.8033.8,41.0041.0,49.8049.8,63.4063.4,67.7067.7,76.0076.0,71.3071.3,66.0066.0,55.7055.7,47.9047.9,41.2041.2
88,1983,Gloucester,33.5033.5,33.5033.5,43.5043.5,51.1051.1,60.8060.8,71.2071.2,77.5077.5,76.7076.7,68.5068.5,56.3056.3,46.3046.3,33.2033.2
89,1984,Gloucester,26.5026.5,39.1039.1,36.0036.0,50.2050.2,60.8060.8,73.0073.0,73.8073.8,74.9074.9,64.2064.2,60.6060.6,43.9043.9,41.8041.8
90,1985,Gloucester,26.9026.9,35.0035.0,44.2044.2,55.0055.0,64.3064.3,68.6068.6,75.2075.2,73.3073.3,68.4068.4,58.0058.0,50.0050.0,32.6032.6
91,1986,Gloucester,32.2032.2,31.2031.2,43.4043.4,51.9051.9,65.1065.1,72.1072.1,76.5076.5,72.4072.4,66.6066.6,56.8056.8,44.0044.0,37.3037.3
92,1987,Gloucester,31.0031.0,31.5031.5,44.0044.0,51.7051.7,63.0063.0,73.7073.7,78.5078.5,73.8073.8,67.4067.4,51.5051.5,47.3047.3,38.6038.6
93,1988,Gloucester,27.1027.1,34.7034.7,43.3043.3,50.1050.1,62.0062.0,71.1071.1,78.7078.7,77.2077.2,65.1065.1,50.7050.7,46.8046.8,34.7034.7
94,1989,Gloucester,35.8035.8,34.3034.3,41.3041.3,51.0051.0,61.0061.0,73.4073.4,74.6074.6,73.5073.5,67.6067.6,57.0057.0,44.7044.7,24.7024.7
95,1990,Gloucester,39.8039.8,40.9040.9,45.2045.2,52.3052.3,60.4060.4,71.1071.1,76.4076.4,73.9073.9,65.5065.5,60.3060.3,48.0048.0,40.8040.8
96,1991,Gloucester,33.7033.7,39.2039.2,44.9044.9,53.6053.6,68.2068.2,73.0073.0,76.8076.8,75.9075.9,66.7066.7,56.6056.6,45.4045.4,39.0039.0
97,1992,Gloucester,34.4034.4,36.4036.4,40.2040.2,50.7050.7,59.3059.3,68.8068.8,75.1075.1,71.0071.0,66.4066.4,52.4052.4,45.9045.9,37.0037.0
98,1993,Gloucester,37.0037.0,30.6030.6,38.7038.7,52.0052.0,64.0064.0,71.4071.4,78.4078.4,75.7075.7,67.1067.1,54.4054.4,46.0046.0,35.4035.4
99,1994,Gloucester,25.8025.8,30.9030.9,40.8040.8,56.6056.6,59.7059.7,74.7074.7,78.8078.8,71.9071.9,65.6065.6,54.1054.1,50.2050.2,40.5040.5
100,1995,Gloucester,37.4037.4,30.6030.6,45.1045.1,51.8051.8,61.5061.5,71.3071.3,78.5078.5,76.3076.3,67.7067.7,59.3059.3,41.6041.6,31.4031.4
101,1996,Gloucester,30.9030.9,34.1034.1,38.2038.2,52.5052.5,59.7059.7,72.2072.2,73.5073.5,73.2073.2,67.6067.6,55.3055.3,40.8040.8,39.7039.7
102,1997,Gloucester,32.2032.2,39.8039.8,43.6043.6,50.4050.4,58.8058.8,69.9069.9,76.3076.3,72.9072.9,66.0066.0,56.0056.0,43.7043.7,37.8037.8
103,1998,Gloucester,40.8040.8,40.7040.7,44.7044.7,54.5054.5,65.0065.0,70.6070.6,76.2076.2,75.9075.9,70.5070.5,56.7056.7,46.7046.7,41.6041.6
104,1999,Gloucester,35.6035.6,36.9036.9,41.6041.6,52.6052.6,62.6062.6,72.0072.0,79.4079.4,75.6075.6,68.7068.7,54.7054.7,50.6050.6,39.6039.6
105,2000,Gloucester,32.3032.3,37.7037.7,47.4047.4,51.5051.5,63.8063.8,72.2072.2,73.0073.0,72.7072.7,65.6065.6,56.8056.8,44.2044.2,30.6030.6
106,2001,Gloucester,31.8031.8,37.5037.5,40.0040.0,53.2053.2,63.2063.2,72.9072.9,72.9072.9,77.2077.2,65.9065.9,57.2057.2,50.5050.5,42.7042.7
107,2002,Gloucester,38.4038.4,40.3040.3,44.8044.8,55.9055.9,61.6061.6,72.2072.2,77.8077.8,77.6077.6,70.0070.0,56.2056.2,44.9044.9,34.9034.9
108,2003,Gloucester,28.6028.6,30.2030.2,44.0044.0,51.3051.3,58.6058.6,69.6069.6,76.5076.5,76.6076.6,68.7068.7,54.7054.7,50.4050.4,36.8036.8
109,2004,Gloucester,26.4026.4,35.2035.2,45.0045.0,53.8053.8,68.8068.8,71.0071.0,75.3075.3,73.9073.9,69.2069.2,55.2055.2,47.8047.8,37.5037.5
110,2005,Gloucester,32.3032.3,36.2036.2,39.3039.3,54.5054.5,58.5058.5,73.7073.7,77.9077.9,78.0078.0,72.4072.4,57.9057.9,49.3049.3,34.4034.4
111,2006,Gloucester,40.8040.8,35.8035.8,44.2044.2,55.9055.9,63.5063.5,71.7071.7,78.5078.5,76.6076.6,66.1066.1,55.3055.3,50.8050.8,43.0043.0
112,2007,Gloucester,38.8038.8,28.3028.3,43.5043.5,50.5050.5,64.9064.9,72.7072.7,76.1076.1,75.7075.7,70.2070.2,63.6063.6,45.3045.3,37.4037.4
113,2008,Gloucester,36.1036.1,37.2037.2,44.3044.3,55.4055.4,60.4060.4,75.3075.3,78.2078.2,73.3073.3,69.3069.3,55.4055.4,45.0045.0,38.5038.5
114,2009,Gloucester,29.2029.2,37.0037.0,42.8042.8,54.3054.3,63.5063.5,69.8069.8,74.3074.3,76.7076.7,66.5066.5,55.2055.2,50.3050.3,36.0036.0
115,2010,Gloucester,33.0033.0,31.5031.5,47.9047.9,57.3057.3,66.0066.0,76.8076.8,80.0080.0,76.9076.9,71.2071.2,57.7057.7,46.8046.8,32.0032.0
116,2011,Gloucester,28.9028.9,36.9036.9,43.1043.1,56.1056.1,66.0066.0,74.2074.2,80.7080.7,74.8074.8,70.3070.3,56.9056.9,50.6050.6,42.6042.6
117,2012,Gloucester,37.5037.5,40.6040.6,51.5051.5,54.3054.3,67.0067.0,71.9071.9,80.1080.1,76.6076.6,68.7068.7,58.3058.3,42.9042.9,42.7042.7
118,2013,Gloucester,35.8035.8,34.8034.8,40.2040.2,53.7053.7,63.2063.2,73.3073.3,79.5079.5,72.9072.9,66.2066.2,59.0059.0,44.5044.5,38.3038.3
119,2014,Gloucester,28.3028.3,32.1032.1,37.7037.7,52.7052.7,63.9063.9,72.7072.7,76.1076.1,72.4072.4,68.3068.3,58.4058.4,43.5043.5,40.2040.2
120,2015,Gloucester,30.2030.2,25.0025.0,38.3038.3,53.7053.7,68.2068.2,72.9072.9,77.1077.1,76.0076.0,72.4072.4,56.3056.3,51.5051.5,50.3050.3
121,2016,Gloucester,33.3033.3,37.8037.8,49.3049.3,52.6052.6,61.5061.5,72.7072.7,79.4079.4,79.0079.0,71.7071.7,58.8058.8,48.3048.3,38.3038.3
122,2017,Gloucester,38.0038.0,43.1043.1,41.1041.1,58.1058.1,61.6061.6,72.5072.5,77.6077.6,73.4073.4,69.5069.5,61.7061.7,46.4046.4,35.0035.0
123,2018,Gloucester,31.9031.9,41.2041.2,39.7039.7,50.3050.3,67.1067.1,71.9071.9,78.0078.0,78.5078.5,72.3072.3,58.6058.6,44.3044.3,39.7039.7
124,2019,Gloucester,33.6033.6,36.6036.6,41.9041.9,57.6057.6,65.6065.6,72.9072.9,79.6079.6,76.2076.2,71.2071.2,59.9059.9,42.8042.8,38.4038.4

,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Hudson,23.7023.7,31.4031.4,37.1037.1,50.0050.0,62.3062.3,69.7069.7,75.8075.8,75.9075.9,69.2069.2,57.3057.3,46.8046.8,33.8033.8
76,1971,Hudson,26.2026.2,33.2033.2,38.6038.6,48.7048.7,58.6058.6,71.7071.7,75.2075.2,73.7073.7,69.5069.5,60.9060.9,43.6043.6,39.5039.5
77,1972,Hudson,33.7033.7,29.6029.6,38.0038.0,47.9047.9,60.9060.9,66.7066.7,76.0076.0,73.7073.7,67.8067.8,51.5051.5,42.4042.4,37.6037.6
78,1973,Hudson,34.0034.0,31.3031.3,45.2045.2,51.8051.8,58.0058.0,72.5072.5,76.4076.4,76.6076.6,68.2068.2,58.2058.2,46.6046.6,37.8037.8
79,1974,Hudson,33.9033.9,30.6030.6,41.1041.1,53.7053.7,59.8059.8,68.0068.0,75.8075.8,74.8074.8,65.5065.5,52.5052.5,46.4046.4,38.2038.2
80,1975,Hudson,36.1036.1,34.6034.6,39.2039.2,46.4046.4,64.4064.4,70.0070.0,75.6075.6,73.8073.8,63.3063.3,58.2058.2,50.8050.8,35.3035.3
81,1976,Hudson,26.6026.6,38.6038.6,43.4043.4,54.1054.1,60.3060.3,72.8072.8,74.0074.0,73.5073.5,65.6065.6,51.9051.9,39.9039.9,28.9028.9
82,1977,Hudson,21.0021.0,32.3032.3,45.6045.6,52.3052.3,63.9063.9,69.0069.0,76.9076.9,74.1074.1,67.0067.0,53.7053.7,46.3046.3,33.4033.4
83,1978,Hudson,27.0027.0,25.1025.1,37.7037.7,49.7049.7,59.2059.2,70.3070.3,73.8073.8,75.3075.3,64.4064.4,54.5054.5,46.4046.4,36.8036.8
84,1979,Hudson,31.1031.1,22.6022.6,44.0044.0,50.0050.0,62.6062.6,67.6067.6,75.4075.4,74.1074.1,66.9066.9,54.5054.5,49.3049.3,38.4038.4
85,1980,Hudson,32.1032.1,29.3029.3,38.6038.6,52.2052.2,64.1064.1,69.0069.0,77.6077.6,77.5077.5,69.8069.8,53.9053.9,42.2042.2,30.2030.2
86,1981,Hudson,23.9023.9,36.7036.7,39.4039.4,53.6053.6,62.2062.2,71.4071.4,76.9076.9,73.6073.6,65.6065.6,52.1052.1,44.9044.9,34.0034.0
87,1982,Hudson,23.6023.6,33.8033.8,39.6039.6,49.0049.0,62.6062.6,66.8066.8,76.0076.0,71.3071.3,66.0066.0,55.9055.9,48.0048.0,40.8040.8
88,1983,Hudson,32.8032.8,34.2034.2,42.7042.7,50.4050.4,58.5058.5,71.5071.5,78.0078.0,75.8075.8,69.3069.3,55.7055.7,46.3046.3,33.2033.2
89,1984,Hudson,27.1027.1,38.4038.4,34.9034.9,49.7049.7,60.0060.0,73.1073.1,74.0074.0,75.4075.4,64.3064.3,59.9059.9,44.8044.8,41.2041.2
90,1985,Hudson,26.2026.2,33.6033.6,43.4043.4,53.6053.6,64.2064.2,67.7067.7,75.2075.2,74.0074.0,68.6068.6,57.2057.2,48.4048.4,32.3032.3
91,1986,Hudson,32.0032.0,30.2030.2,42.4042.4,51.8051.8,64.5064.5,70.6070.6,75.2075.2,72.0072.0,66.1066.1,56.2056.2,43.4043.4,37.2037.2
92,1987,Hudson,30.6030.6,31.6031.6,43.2043.2,51.7051.7,62.0062.0,72.3072.3,77.2077.2,72.9072.9,66.4066.4,52.1052.1,46.2046.2,38.1038.1
93,1988,Hudson,27.2027.2,33.3033.3,42.0042.0,49.4049.4,61.0061.0,70.8070.8,78.1078.1,77.5077.5,66.0066.0,51.0051.0,47.3047.3,34.4034.4
94,1989,Hudson,35.5035.5,32.9032.9,40.6040.6,50.0050.0,61.1061.1,72.0072.0,75.0075.0,73.8073.8,67.7067.7,57.0057.0,44.1044.1,24.1024.1
95,1990,Hudson,39.3039.3,38.4038.4,43.3043.3,51.3051.3,58.9058.9,70.9070.9,75.9075.9,74.5074.5,66.4066.4,60.6060.6,48.4048.4,41.0041.0
96,1991,Hudson,32.9032.9,38.2038.2,43.4043.4,53.7053.7,67.3067.3,72.9072.9,76.8076.8,76.1076.1,66.4066.4,56.9056.9,46.5046.5,38.3038.3
97,1992,Hudson,34.2034.2,35.2035.2,38.3038.3,48.5048.5,59.3059.3,69.0069.0,73.5073.5,71.6071.6,66.2066.2,52.8052.8,44.8044.8,36.3036.3
98,1993,Hudson,35.4035.4,28.7028.7,37.4037.4,51.1051.1,63.6063.6,71.4071.4,78.7078.7,75.6075.6,66.2066.2,54.0054.0,45.7045.7,35.4035.4
99,1994,Hudson,24.1024.1,28.6028.6,38.9038.9,53.7053.7,60.1060.1,74.1074.1,78.5078.5,72.4072.4,66.3066.3,55.4055.4,49.7049.7,40.4040.4
100,1995,Hudson,36.5036.5,29.5029.5,44.0044.0,50.0050.0,60.2060.2,71.0071.0,77.6077.6,76.4076.4,66.7066.7,59.6059.6,42.2042.2,31.2031.2
101,1996,Hudson,29.8029.8,32.7032.7,37.3037.3,51.3051.3,59.5059.5,71.1071.1,73.1073.1,73.8073.8,67.7067.7,55.5055.5,42.0042.0,40.1040.1
102,1997,Hudson,31.1031.1,39.2039.2,41.5041.5,50.2050.2,58.4058.4,70.1070.1,75.6075.6,72.8072.8,66.1066.1,55.7055.7,43.3043.3,37.2037.2
103,1998,Hudson,39.7039.7,40.0040.0,44.2044.2,53.0053.0,64.0064.0,69.2069.2,76.3076.3,76.2076.2,69.5069.5,56.9056.9,46.8046.8,41.8041.8
104,1999,Hudson,33.2033.2,37.0037.0,41.6041.6,52.2052.2,61.9061.9,72.9072.9,80.4080.4,75.2075.2,68.4068.4,55.0055.0,49.5049.5,38.9038.9
105,2000,Hudson,30.8030.8,36.3036.3,46.4046.4,50.0050.0,62.9062.9,71.2071.2,72.4072.4,72.5072.5,65.8065.8,56.3056.3,44.6044.6,30.5030.5
106,2001,Hudson,32.0032.0,35.2035.2,39.0039.0,52.5052.5,62.9062.9,72.6072.6,73.2073.2,77.9077.9,66.8066.8,57.2057.2,51.0051.0,43.0043.0
107,2002,Hudson,39.0039.0,39.7039.7,43.3043.3,54.7054.7,59.7059.7,71.4071.4,78.3078.3,77.1077.1,69.5069.5,54.9054.9,44.7044.7,35.0035.0
108,2003,Hudson,27.3027.3,28.9028.9,41.8041.8,48.8048.8,58.2058.2,68.5068.5,76.2076.2,76.8076.8,67.9067.9,54.4054.4,49.5049.5,36.8036.8
109,2004,Hudson,24.8024.8,34.0034.0,43.2043.2,52.9052.9,65.2065.2,71.0071.0,74.4074.4,74.0074.0,69.3069.3,55.7055.7,47.7047.7,37.3037.3
110,2005,Hudson,30.7030.7,35.4035.4,38.1038.1,53.9053.9,58.2058.2,73.8073.8,77.7077.7,79.1079.1,72.6072.6,57.4057.4,48.5048.5,33.9033.9
111,2006,Hudson,39.7039.7,34.9034.9,42.3042.3,54.5054.5,62.6062.6,71.4071.4,78.5078.5,75.8075.8,66.1066.1,55.5055.5,51.0051.0,43.0043.0
112,2007,Hudson,37.2037.2,27.7027.7,41.1041.1,49.3049.3,64.4064.4,71.8071.8,75.3075.3,74.4074.4,69.7069.7,63.4063.4,44.4044.4,36.4036.4
113,2008,Hudson,35.6035.6,35.1035.1,41.9041.9,53.7053.7,59.3059.3,74.3074.3,78.3078.3,73.3073.3,69.0069.0,54.9054.9,45.0045.0,37.3037.3
114,2009,Hudson,27.5027.5,35.9035.9,41.4041.4,53.5053.5,62.4062.4,68.2068.2,73.5073.5,76.3076.3,66.3066.3,54.8054.8,50.6050.6,35.3035.3
115,2010,Hudson,32.3032.3,32.9032.9,47.4047.4,56.9056.9,65.4065.4,75.0075.0,80.9080.9,76.6076.6,70.5070.5,57.8057.8,46.9046.9,32.5032.5
116,2011,Hudson,29.1029.1,35.0035.0,42.2042.2,53.9053.9,64.4064.4,72.9072.9,80.6080.6,75.6075.6,70.1070.1,57.1057.1,50.5050.5,42.3042.3
117,2012,Hudson,37.0037.0,40.2040.2,50.7050.7,54.2054.2,65.4065.4,71.5071.5,79.6079.6,76.8076.8,68.8068.8,58.3058.3,43.1043.1,41.0041.0
118,2013,Hudson,35.2035.2,33.5033.5,39.7039.7,52.2052.2,62.1062.1,72.6072.6,80.0080.0,74.0074.0,66.7066.7,59.2059.2,44.4044.4,37.3037.3
119,2014,Hudson,27.8027.8,30.2030.2,36.8036.8,51.3051.3,63.3063.3,72.3072.3,76.5076.5,73.8073.8,69.2069.2,59.0059.0,43.9043.9,40.0040.0
120,2015,Hudson,29.0029.0,22.8022.8,36.8036.8,52.6052.6,67.2067.2,71.2071.2,78.0078.0,77.8077.8,73.0073.0,56.8056.8,51.5051.5,49.4049.4
121,2016,Hudson,33.8033.8,37.2037.2,48.2048.2,52.3052.3,62.2062.2,72.4072.4,79.2079.2,79.2079.2,71.5071.5,58.6058.6,49.3049.3,37.9037.9
122,2017,Hudson,38.1038.1,41.1041.1,39.2039.2,56.7056.7,60.9060.9,72.2072.2,76.8076.8,73.8073.8,70.4070.4,63.4063.4,45.7045.7,34.7034.7
123,2018,Hudson,31.0031.0,41.0041.0,39.7039.7,48.4048.4,66.3066.3,71.6071.6,78.1078.1,78.3078.3,70.7070.7,57.1057.1,43.5043.5,39.3039.3
124,2019,Hudson,32.2032.2,35.6035.6,40.6040.6,54.5054.5,62.3062.3,71.7071.7,79.9079.9,75.7075.7,70.1070.1,59.5059.5,42.7042.7,37.4037.4

,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Hunterdon,19.3019.3,28.2028.2,34.3034.3,47.5047.5,60.1060.1,66.3066.3,73.0073.0,71.6071.6,65.6065.6,54.3054.3,43.5043.5,30.8030.8
76,1971,Hunterdon,22.8022.8,29.5029.5,36.0036.0,46.4046.4,55.4055.4,68.8068.8,71.3071.3,69.4069.4,66.4066.4,57.9057.9,40.4040.4,36.2036.2
77,1972,Hunterdon,30.0030.0,26.5026.5,36.0036.0,45.5045.5,58.8058.8,64.4064.4,73.1073.1,70.0070.0,64.4064.4,47.9047.9,39.4039.4,34.5034.5
78,1973,Hunterdon,30.5030.5,28.3028.3,42.9042.9,49.3049.3,55.6055.6,70.6070.6,73.2073.2,72.7072.7,64.6064.6,54.2054.2,43.5043.5,34.1034.1
79,1974,Hunterdon,30.5030.5,28.0028.0,38.8038.8,51.0051.0,58.1058.1,65.1065.1,72.2072.2,71.0071.0,62.5062.5,48.6048.6,42.9042.9,34.3034.3
80,1975,Hunterdon,32.0032.0,31.1031.1,36.5036.5,44.0044.0,62.4062.4,68.3068.3,72.5072.5,71.3071.3,60.2060.2,56.2056.2,47.1047.1,32.1032.1
81,1976,Hunterdon,23.0023.0,34.5034.5,40.8040.8,51.6051.6,57.0057.0,70.6070.6,70.2070.2,69.7069.7,62.0062.0,48.3048.3,36.4036.4,25.3025.3
82,1977,Hunterdon,16.8016.8,28.8028.8,43.0043.0,50.5050.5,60.8060.8,65.6065.6,72.9072.9,70.7070.7,64.5064.5,50.6050.6,43.9043.9,29.4029.4
83,1978,Hunterdon,23.9023.9,20.0020.0,34.4034.4,47.8047.8,57.2057.2,67.2067.2,70.2070.2,72.0072.0,61.4061.4,50.6050.6,42.8042.8,33.0033.0
84,1979,Hunterdon,28.0028.0,19.4019.4,42.0042.0,48.3048.3,60.4060.4,65.2065.2,71.6071.6,70.7070.7,63.1063.1,51.3051.3,45.9045.9,33.9033.9
85,1980,Hunterdon,28.5028.5,26.2026.2,35.9035.9,50.3050.3,60.8060.8,65.4065.4,74.1074.1,74.8074.8,67.0067.0,50.9050.9,38.5038.5,27.3027.3
86,1981,Hunterdon,20.7020.7,34.4034.4,36.3036.3,51.2051.2,59.7059.7,68.4068.4,73.4073.4,69.4069.4,62.6062.6,48.9048.9,42.1042.1,30.0030.0
87,1982,Hunterdon,19.8019.8,30.5030.5,37.2037.2,46.7046.7,60.7060.7,64.5064.5,72.3072.3,67.5067.5,63.0063.0,52.6052.6,44.8044.8,37.6037.6
88,1983,Hunterdon,29.3029.3,31.2031.2,40.8040.8,47.6047.6,57.2057.2,67.6067.6,74.3074.3,73.6073.6,65.2065.2,52.9052.9,43.0043.0,29.1029.1
89,1984,Hunterdon,23.1023.1,35.9035.9,32.8032.8,47.7047.7,57.7057.7,69.3069.3,71.0071.0,72.0072.0,60.9060.9,57.2057.2,41.3041.3,37.6037.6
90,1985,Hunterdon,23.9023.9,31.3031.3,41.1041.1,51.8051.8,61.1061.1,64.2064.2,71.6071.6,70.2070.2,65.3065.3,54.5054.5,45.7045.7,28.7028.7
91,1986,Hunterdon,28.8028.8,27.7027.7,40.1040.1,49.7049.7,62.0062.0,67.5067.5,72.4072.4,68.4068.4,62.6062.6,53.7053.7,40.4040.4,33.8033.8
92,1987,Hunterdon,27.5027.5,29.0029.0,41.4041.4,50.3050.3,59.8059.8,69.6069.6,74.2074.2,69.2069.2,63.3063.3,48.1048.1,43.5043.5,35.0035.0
93,1988,Hunterdon,22.4022.4,29.9029.9,39.9039.9,47.9047.9,59.2059.2,67.3067.3,75.6075.6,73.7073.7,61.7061.7,47.8047.8,43.6043.6,31.0031.0
94,1989,Hunterdon,32.2032.2,30.6030.6,38.2038.2,47.2047.2,58.2058.2,69.3069.3,71.5071.5,69.8069.8,64.5064.5,53.7053.7,41.3041.3,20.8020.8
95,1990,Hunterdon,35.7035.7,36.0036.0,41.8041.8,49.6049.6,57.4057.4,67.5067.5,72.8072.8,70.8070.8,62.0062.0,56.9056.9,45.2045.2,37.1037.1
96,1991,Hunterdon,29.0029.0,35.6035.6,41.4041.4,51.4051.4,64.6064.6,69.3069.3,73.1073.1,72.3072.3,63.1063.1,53.3053.3,43.2043.2,35.3035.3
97,1992,Hunterdon,31.1031.1,33.2033.2,36.7036.7,47.5047.5,56.7056.7,65.4065.4,70.6070.6,67.6067.6,62.8062.8,48.2048.2,42.2042.2,32.7032.7
98,1993,Hunterdon,32.9032.9,26.3026.3,34.5034.5,49.4049.4,61.0061.0,67.7067.7,74.9074.9,72.1072.1,63.3063.3,50.3050.3,42.1042.1,32.0032.0
99,1994,Hunterdon,20.5020.5,25.7025.7,36.2036.2,52.1052.1,57.3057.3,70.8070.8,75.4075.4,68.6068.6,63.0063.0,50.7050.7,47.1047.1,36.6036.6
100,1995,Hunterdon,33.3033.3,26.8026.8,42.3042.3,47.9047.9,57.6057.6,68.6068.6,74.8074.8,73.3073.3,63.7063.7,56.1056.1,38.5038.5,27.4027.4
101,1996,Hunterdon,25.9025.9,29.7029.7,34.8034.8,49.6049.6,57.2057.2,69.1069.1,70.1070.1,70.7070.7,64.4064.4,52.6052.6,38.9038.9,36.6036.6
102,1997,Hunterdon,27.9027.9,36.1036.1,39.4039.4,47.2047.2,55.7055.7,66.3066.3,72.2072.2,69.1069.1,62.6062.6,52.5052.5,40.1040.1,34.3034.3
103,1998,Hunterdon,37.0037.0,37.6037.6,41.7041.7,51.2051.2,62.8062.8,67.2067.2,73.0073.0,73.0073.0,66.2066.2,53.7053.7,42.8042.8,38.7038.7
104,1999,Hunterdon,30.3030.3,33.8033.8,38.6038.6,49.5049.5,59.3059.3,69.9069.9,77.8077.8,72.6072.6,66.1066.1,51.2051.2,46.6046.6,35.6035.6
105,2000,Hunterdon,28.1028.1,32.7032.7,44.6044.6,49.1049.1,61.2061.2,68.8068.8,69.6069.6,69.2069.2,62.8062.8,53.2053.2,42.2042.2,27.1027.1
106,2001,Hunterdon,27.8027.8,33.1033.1,37.1037.1,50.2050.2,60.8060.8,69.5069.5,69.5069.5,73.4073.4,63.1063.1,54.0054.0,46.9046.9,39.7039.7
107,2002,Hunterdon,34.9034.9,36.8036.8,41.3041.3,52.6052.6,57.6057.6,69.0069.0,75.0075.0,74.9074.9,66.1066.1,51.4051.4,41.4041.4,30.8030.8
108,2003,Hunterdon,24.5024.5,26.6026.6,39.6039.6,47.4047.4,56.4056.4,65.8065.8,73.0073.0,73.5073.5,65.2065.2,50.8050.8,46.9046.9,33.7033.7
109,2004,Hunterdon,22.6022.6,31.4031.4,41.5041.5,50.8050.8,65.0065.0,67.4067.4,71.3071.3,71.3071.3,65.8065.8,52.0052.0,45.0045.0,32.8032.8
110,2005,Hunterdon,27.7027.7,32.6032.6,35.5035.5,52.0052.0,55.8055.8,71.8071.8,74.8074.8,75.0075.0,69.0069.0,55.1055.1,45.5045.5,29.9029.9
111,2006,Hunterdon,36.6036.6,32.8032.8,40.6040.6,52.2052.2,60.5060.5,69.3069.3,75.2075.2,72.3072.3,62.6062.6,52.0052.0,48.1048.1,40.2040.2
